"id (int32)	trade_engine_id (int32)	trade_engine_name (string:45)	trade_engine_title (string:765)	market_id (int32)	market_name (string:45)	name (string:192)	title (string:765)	is_default (int32)	board_group_id (int32)	is_traded (int32)	is_order_driven (int32)	category (string:45)"
"293	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreignndm_ccp_usd	Т+: РПС с ЦК: Ин.Акции и ДР (USD) - адрес.	0	293	1	0	main"
"294	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreignndm_usd	РПС: Ин.Акции (USD) - адрес.	0	294	1	0	main"
"267	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreign_ccp	РПС с ЦК: Ин.Акции и ДР - адрес.	0	267	1	0	main"
"269	1	stock	Фондовый рынок и рынок депозитов	49	foreignndm	stock_foreign_ndm	РПС: Ин.Акции - адрес.	1	269	1	0	main"
"72	1	stock	Фондовый рынок и рынок депозитов	33	moexboard	stock_moexboard	MOEX Board	1	72	1	null	main"
"86	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_d	РЕПО с ЦК с КСУ 1 день - безадрес.	1	86	1	1	main"
"83	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_w	РЕПО с ЦК с КСУ 7 дн. - безадрес.	0	83	1	1	main"
"80	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2w	РЕПО с ЦК с КСУ 14 дн. - безадрес.	0	80	1	1	main"
"84	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_m	РЕПО с ЦК с КСУ 1 месяц - безадрес.	0	84	1	1	main"
"81	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2m	РЕПО с ЦК с КСУ 2 месяца - безадрес.	0	81	1	1	main"
"85	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_3m	РЕПО с ЦК с КСУ 3 месяца - безадрес.	0	85	1	1	main"
"103	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_6m	РЕПО с ЦК с КСУ 6 мес. - безадрес.	0	103	1	1	main"
"102	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_1y	РЕПО с ЦК с КСУ 1 год - безадрес.	0	102	1	1	main"
"82	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_ndm	РЕПО с ЦК с КСУ - адрес.	0	82	1	0	main"
"111	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_d_usd	РЕПО с ЦК с КСУ 1 день (USD) - безадрес.	0	111	1	1	main"
"112	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_w_usd	РЕПО с ЦК с КСУ 7 дн. (USD) - безадрес.	0	112	1	1	main"
"113	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2w_usd	РЕПО с ЦК с КСУ 14 дн. (USD) - безадрес.	0	113	1	1	main"
"114	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_m_usd	РЕПО с ЦК с КСУ 1 месяц (USD) - безадрес.	0	114	1	1	main"
"115	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2m_usd	РЕПО с ЦК с КСУ 2 месяца (USD) - безадрес.	0	115	1	1	main"
"116	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_3m_usd	РЕПО с ЦК с КСУ 3 месяца (USD) - безадрес.	0	116	1	1	main"
"117	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_6m_usd	РЕПО с ЦК с КСУ 6 месяцев (USD) - безадрес.	0	117	1	1	main"
"118	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_1y_usd	РЕПО с ЦК с КСУ 1 год (USD) - безадрес.	0	118	1	1	main"
"119	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_ndm_usd	РЕПО с ЦК с КСУ (USD) - адрес.	0	119	1	0	main"
"127	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_d_eur	РЕПО с ЦК с КСУ 1 день (EUR) - безадрес.	0	127	1	1	main"
"128	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_w_eur	РЕПО с ЦК с КСУ 7 дн. (EUR) - безадрес.	0	128	1	1	main"
"129	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2w_eur	РЕПО с ЦК с КСУ 14 дн. (EUR) - безадрес.	0	129	1	1	main"
"130	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_m_eur	РЕПО с ЦК с КСУ 1 месяц (EUR) - безадрес.	0	130	1	1	main"
"131	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_2m_eur	РЕПО с ЦК с КСУ 2 месяца (EUR) - безадрес.	0	131	1	1	main"
"132	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_3m_eur	РЕПО с ЦК с КСУ 3 месяца (EUR) - безадрес.	0	132	1	1	main"
"133	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_6m_eur	РЕПО с ЦК с КСУ 6 месяцев (EUR) - безадрес.	0	133	1	1	main"
"134	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_1y_eur	РЕПО с ЦК с КСУ 1 год (EUR) - безадрес.	0	134	1	1	main"
"135	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_gcc_ndm_eur	РЕПО с ЦК с КСУ адресн.(EUR) - адрес.	0	135	1	0	main"
"187	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_ccp_9m	РЕПО с ЦК с КСУ 9 месяцев - безадрес.	0	187	1	1	main"
"189	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_ccp_9m_usd	РЕПО с ЦК с КСУ 9 мес. (USD) - безадрес.	0	189	1	1	main"
"191	1	stock	Фондовый рынок и рынок депозитов	46	gcc	stock_ccp_9m_eur	РЕПО с ЦК с КСУ 9 мес. (EUR) - безадрес.	0	191	1	1	main"
